fetched_at,source,source_url,fund_code,etf_code,query_date,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,6223,旺矽,,268000,,3.27
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,1815,富喬,,10877000,,3.05
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,1303,南亞,,5445000,,2.91
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,8021,尖點,,2682000,,2.67
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,6669,緯穎,,429675,,2.61
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,8046,南電,,968000,,2.42
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,3443,創意,,164000,,2.26
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,3661,世芯-KY,,215000,,2.15
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,2308,台達電,,382000,,1.65
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,3189,景碩,,844013,,1.64
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,2454,聯發科,,145000,,1.52
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,4958,臻鼎-KY,,1000000,,1.10
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,2301,光寶科,,659000,,0.48
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,2357,華碩,,196000,,0.48
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,3081,聯亞,,63000,,0.47
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,3653,健策,,33000,,0.46
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,6213,聯茂,,373000,,0.46
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,5274,信驊,,11000,,0.46
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,6139,亞翔,,250000,,0.44
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,2376,技嘉,,508000,,0.43
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,3026,禾伸堂,,261000,,0.43
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,8150,南茂,,1957000,,0.42
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,6187,萬潤,,134000,,0.41
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,2404,漢唐,,155000,,0.39
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,2360,致茂,,76000,,0.37
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,6274,台燿,,113000,,0.37
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,5289,宜鼎,,99952,,0.32
2026-09-04T22:59:27+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,500,00992A,2026-09-04,2026-09-04,,ST,5347,世界,,629000,,0.22
